Year,Month,javascript,java,c#,php,android,jquery,python,html,C++,ios,css,mysql,sql,angularjs,.net,asp.net,iphone
2008,8,8,1,8,8,0,1,9,1,4,1,3,3,7,0,9,20,0
2008,9,45,15,48,30,1,5,27,8,23,5,25,21,13,0,32,62,6
2008,10,41,38,60,27,0,24,26,8,24,24,16,16,16,0,28,56,17
2008,11,38,34,56,29,1,22,30,6,24,22,14,23,16,0,28,58,9
2008,12,42,27,47,31,0,19,33,7,27,19,12,23,18,0,18,67,11
2009,1,53,34,102,46,5,35,38,13,33,35,21,35,26,0,27,56,30
2009,2,72,55,110,50,5,55,51,18,46,55,35,43,46,0,18,56,37
2009,3,76,58,158,52,5,48,54,24,46,48,36,43,30,0,34,92,91
2009,4,69,54,162,64,2,64,80,12,40,64,34,44,32,0,26,98,101
2009,5,106,59,132,74,15,118,83,16,71,118,42,53,36,0,30,98,110
2009,6,111,101,160,127,17,162,109,19,76,162,52,80,47,0,37,106,150
2009,7,145,92,171,167,25,166,69,35,103,166,51,86,68,0,30,131,174
2009,8,135,87,235,162,42,201,84,34,92,201,61,90,49,0,32,145,212
2009,9,122,106,247,174,45,201,93,30,101,201,59,68,58,0,25,155,213
2009,10,155,138,212,188,42,227,123,25,115,227,61,58,39,0,30,182,231
2009,11,171,163,213,264,58,210,141,35,144,210,93,115,51,0,37,200,240
2009,12,199,132,225,287,148,202,143,39,102,202,69,110,44,0,37,129,204
2010,1,219,233,267,365,261,279,193,48,168,279,89,118,64,0,41,172,241
2010,2,205,204,231,283,285,236,121,39,189,236,86,116,63,0,26,145,198
2010,3,179,273,323,347,327,337,175,39,190,337,112,188,73,0,50,187,247
2010,4,237,192,331,285,327,342,114,34,188,342,104,154,62,0,39,160,272
2010,5,257,242,340,373,360,315,149,49,182,315,123,153,60,0,49,177,271
2010,6,318,236,412,379,521,399,187,56,236,399,123,199,87,0,23,202,363
2010,7,295,293,474,442,663,416,257,65,277,416,128,178,94,0,42,196,368
2010,8,348,266,478,559,768,487,248,59,253,487,172,185,93,0,58,229,453
2010,9,323,321,383,462,760,436,179,76,279,436,147,170,73,0,56,275,454
2010,10,324,398,412,428,813,489,244,66,249,489,137,237,89,0,38,215,407
2010,11,397,379,425,513,802,482,254,74,293,482,145,211,105,0,47,202,292
2010,12,386,388,369,512,862,496,237,75,258,496,115,193,91,0,38,208,330
2011,1,368,384,420,592,915,557,208,81,262,557,126,227,87,0,39,255,348
2011,2,433,390,384,606,1202,572,308,66,324,572,166,317,89,0,40,279,316
2011,3,556,620,484,764,1499,667,346,84,417,667,164,389,138,0,59,290,349
2011,4,556,577,483,680,1580,600,335,88,369,600,169,364,114,0,32,290,378
2011,5,560,540,466,663,1484,645,300,69,337,645,193,269,125,0,33,261,343
2011,6,551,458,411,625,1278,614,287,69,292,614,191,287,134,0,25,211,283
2011,7,566,379,381,707,1215,723,358,64,266,723,176,298,103,0,27,215,251
2011,8,659,442,484,759,1306,809,378,94,320,809,228,362,107,0,31,222,266
2011,9,600,471,383,650,1394,743,344,72,289,743,223,361,115,0,33,225,215
2011,10,568,561,389,660,1276,702,338,86,338,702,181,334,103,0,25,199,190
2011,11,610,604,354,635,1355,745,375,74,400,745,201,345,126,0,25,196,163
2011,12,574,533,416,669,1260,721,379,78,303,721,186,342,132,0,24,185,120
2012,1,599,537,451,693,1260,750,414,67,314,750,198,417,88,0,23,203,159
2012,2,654,639,431,788,1428,877,405,78,415,877,242,402,131,0,23,225,162
2012,3,689,749,518,853,1567,895,477,81,438,895,227,488,138,2,26,196,168
2012,4,681,776,490,754,1349,794,489,91,378,794,205,444,132,0,14,206,167
2012,5,745,596,563,915,1329,851,482,82,375,851,221,475,153,8,16,229,179
2012,6,719,566,503,837,1245,843,458,79,329,843,235,509,137,18,21,208,157
2012,7,750,721,634,942,1551,882,455,98,402,882,223,577,165,20,28,210,113
2012,8,779,686,579,892,1265,935,488,76,410,935,242,583,151,39,26,208,95
2012,9,703,654,559,917,1273,756,498,84,320,756,188,449,150,44,13,179,96
2012,10,771,865,669,925,1282,821,590,84,450,821,263,542,184,61,25,238,79
2012,11,782,808,552,911,1277,810,624,100,522,810,273,475,170,96,21,207,58
2012,12,751,745,525,855,1281,794,538,84,500,794,225,455,159,98,22,150,33
2013,1,905,776,554,1081,1410,852,572,81,494,852,268,528,170,147,18,162,54
2013,2,879,906,647,942,1300,774,596,95,570,774,247,492,181,157,22,182,49
2013,3,911,1028,709,1056,1334,912,660,102,582,912,274,530,185,172,15,213,33
2013,4,1002,1064,654,987,1308,952,689,98,619,952,293,508,181,212,18,208,32
2013,5,868,804,608,947,1173,866,630,93,555,866,258,586,192,228,24,154,28
2013,6,960,827,538,909,1172,876,583,99,528,876,272,554,206,214,23,180,16
2013,7,1077,897,612,994,1436,1013,751,130,460,1013,298,593,179,282,20,188,31
2013,8,964,891,617,1012,1308,910,600,100,497,910,305,596,163,298,21,206,12
2013,9,974,1109,569,958,1121,878,636,73,601,878,258,517,181,282,11,161,23
2013,10,1133,1458,611,1129,1266,799,874,102,720,799,265,573,236,307,22,147,20
2013,11,991,1318,601,1023,1119,697,729,96,662,697,260,524,174,329,14,133,12
2013,12,957,1098,581,976,1111,628,718,90,650,628,238,507,191,303,7,151,5
2014,1,1053,942,684,1052,1248,671,733,109,639,671,260,569,190,367,13,135,11
2014,2,1097,1128,709,1206,1135,690,780,112,725,690,265,540,215,365,10,145,17
2014,3,1121,1315,741,1279,1443,741,940,127,757,741,276,608,292,428,17,131,14
2014,4,1016,1257,698,1210,1413,671,877,103,708,671,279,613,239,391,15,118,2
2014,5,855,918,573,914,1099,617,596,88,486,617,245,549,253,439,9,131,4
2014,6,818,813,497,815,909,585,623,80,394,585,197,481,209,382,13,87,3
2014,7,868,934,575,868,1084,534,710,98,446,534,217,488,222,480,15,94,4
2014,8,870,894,514,825,1022,550,669,82,426,550,200,467,183,432,10,73,1
2014,9,835,1076,523,791,938,526,699,82,583,526,216,440,249,461,14,84,11
2014,10,890,1274,508,812,892,563,739,87,598,563,224,551,195,470,17,81,6
2014,11,849,1120,501,770,946,494,783,81,622,494,188,648,157,481,7,87,2
2014,12,757,992,480,778,940,460,623,93,517,460,193,480,109,388,8,91,5
2015,1,885,1021,493,844,996,463,649,73,512,463,199,541,121,413,7,77,2
2015,2,830,1073,508,787,1016,475,785,103,616,475,205,524,137,432,7,84,5
2015,3,954,1344,596,884,1077,517,888,101,677,517,228,644,181,539,12,73,2
2015,4,930,1212,578,810,1137,495,863,91,657,495,228,579,157,537,8,91,3
2015,5,998,995,589,741,1097,426,803,88,570,426,217,528,116,520,13,63,5
2015,6,945,1044,575,828,1041,463,834,75,501,463,220,619,126,565,9,76,4
2015,7,1047,961,687,930,1234,457,867,87,505,457,208,623,173,628,13,67,3
2015,8,967,835,550,874,1105,458,750,74,416,458,242,591,160,518,6,65,0
2015,9,917,1140,560,814,1114,417,844,99,555,417,205,550,140,541,9,63,1
2015,10,1002,1388,642,863,1147,420,1057,98,695,420,190,642,145,514,11,63,0
2015,11,1011,1340,639,823,1015,370,880,78,634,370,199,562,132,498,10,41,4
2015,12,1043,1081,579,800,983,419,866,88,610,419,200,554,124,517,4,44,0
2016,1,1026,998,559,917,983,412,778,114,504,412,168,590,139,575,6,54,0
2016,2,1058,1197,609,967,1030,406,943,114,623,406,202,625,151,537,18,67,4
2016,3,1157,1411,726,1071,1424,417,1134,110,664,417,215,737,155,654,18,101,1
2016,4,1156,1371,750,1009,1361,395,1019,108,676,395,207,651,170,632,15,89,5
2016,5,1195,1066,666,1025,1293,394,829,102,533,394,203,703,187,565,15,66,2
2016,6,1099,896,685,922,1295,375,911,105,486,375,169,634,182,530,13,102,3
2016,7,1067,737,660,829,1208,381,830,95,462,381,178,577,132,519,14,81,5
2016,8,1062,779,601,786,1113,395,859,92,403,395,174,600,131,563,16,68,4
2016,9,986,951,586,860,1072,341,901,86,492,341,149,567,147,508,12,67,1
2016,10,1018,1078,611,885,996,385,1047,99,650,385,161,600,173,452,9,53,2
2016,11,1146,1012,616,770,900,346,1068,94,608,346,183,654,190,445,12,58,3
2016,12,978,802,598,771,857,347,842,95,510,347,155,555,129,407,12,65,6
2017,1,1068,777,583,861,1046,353,900,79,548,353,182,635,141,477,11,69,4
2017,2,1183,1137,678,902,994,359,1067,115,534,359,185,612,207,420,10,67,4
