Year,Month,Csharp,java,net,php,aspnet,javascript,Cplusplus,jquery,iphone
2008,8,8,1,9,8,20,8,4,1,0
2008,9,48,15,32,30,62,45,23,5,6
2008,10,60,38,28,27,56,41,24,24,17
2008,11,56,34,28,29,58,38,24,22,9
2008,12,47,27,18,31,67,42,27,19,11
2009,1,102,34,27,46,56,53,33,35,30
2009,2,110,55,18,50,56,72,46,55,37
2009,3,158,58,34,52,92,76,46,48,91
2009,4,162,54,26,64,98,69,40,64,101
2009,5,132,59,30,74,98,106,71,118,110
2009,6,160,101,37,127,106,111,76,162,150
2009,7,171,92,30,167,131,145,103,166,174
2009,8,235,87,32,162,145,135,92,201,212
2009,9,247,106,25,174,155,122,101,201,213
2009,10,212,138,30,188,182,155,115,227,231
2009,11,213,163,37,264,200,171,144,210,240
2009,12,225,132,37,287,129,199,102,202,204
2010,1,267,233,41,365,172,219,168,279,241
2010,2,231,204,26,283,145,205,189,236,198
2010,3,323,273,50,347,187,179,190,337,247
2010,4,331,192,39,285,160,237,188,342,272
2010,5,340,242,49,373,177,257,182,315,271
2010,6,412,236,23,379,202,318,236,399,363
2010,7,474,293,42,442,196,295,277,416,368
2010,8,478,266,58,559,229,348,253,487,453
2010,9,383,321,56,462,275,323,279,436,454
2010,10,412,398,38,428,215,324,249,489,407
2010,11,425,379,47,513,202,397,293,482,292
2010,12,369,388,38,512,208,386,258,496,330
2011,1,420,384,39,592,255,368,262,557,348
2011,2,384,390,40,606,279,433,324,572,316
2011,3,484,620,59,764,290,556,417,667,349
2011,4,483,577,32,680,290,556,369,600,378
2011,5,466,540,33,663,261,560,337,645,343
2011,6,411,458,25,625,211,551,292,614,283
2011,7,381,379,27,707,215,566,266,723,251
2011,8,484,442,31,759,222,659,320,809,266
2011,9,383,471,33,650,225,600,289,743,215
2011,10,389,561,25,660,199,568,338,702,190
2011,11,354,604,25,635,196,610,400,745,163
2011,12,416,533,24,669,185,574,303,721,120
2012,1,451,537,23,693,203,599,314,750,159
2012,2,431,639,23,788,225,654,415,877,162
2012,3,518,749,26,853,196,689,438,895,168
2012,4,490,776,14,754,206,681,378,794,167
2012,5,563,596,16,915,229,745,375,851,179
2012,6,503,566,21,837,208,719,329,843,157
2012,7,634,721,28,942,210,750,402,882,113
2012,8,579,686,26,892,208,779,410,935,95
2012,9,559,654,13,917,179,703,320,756,96
2012,10,669,865,25,925,238,771,450,821,79
2012,11,552,808,21,911,207,782,522,810,58
2012,12,525,745,22,855,150,751,500,794,33
2013,1,554,776,18,1081,162,905,494,852,54
2013,2,647,906,22,942,182,879,570,774,49
2013,3,709,1028,15,1056,213,911,582,912,33
2013,4,654,1064,18,987,208,1002,619,952,32
2013,5,608,804,24,947,154,868,555,866,28
2013,6,538,827,23,909,180,960,528,876,16
2013,7,612,897,20,994,188,1077,460,1013,31
2013,8,617,891,21,1012,206,964,497,910,12
2013,9,569,1109,11,958,161,974,601,878,23
2013,10,611,1458,22,1129,147,1133,720,799,20
2013,11,601,1318,14,1023,133,991,662,697,12
2013,12,581,1098,7,976,151,957,650,628,5
2014,1,684,942,13,1052,135,1053,639,671,11
2014,2,709,1128,10,1206,145,1097,725,690,17
2014,3,741,1315,17,1279,131,1121,757,741,14
2014,4,698,1257,15,1210,118,1016,708,671,2
2014,5,573,918,9,914,131,855,486,617,4
2014,6,497,813,13,815,87,818,394,585,3
2014,7,575,934,15,868,94,868,446,534,4
2014,8,514,894,10,825,73,870,426,550,1
2014,9,523,1076,14,791,84,835,583,526,11
2014,10,508,1274,17,812,81,890,598,563,6
2014,11,501,1120,7,770,87,849,622,494,2
2014,12,480,992,8,778,91,757,517,460,5
2015,1,493,1021,7,844,77,885,512,463,2
2015,2,508,1073,7,787,84,830,616,475,5
2015,3,596,1344,12,884,73,954,677,517,2
2015,4,578,1212,8,810,91,930,657,495,3
2015,5,589,995,13,741,63,998,570,426,5
2015,6,575,1044,9,828,76,945,501,463,4
2015,7,687,961,13,930,67,1047,505,457,3
2015,8,550,835,6,874,65,967,416,458,0
2015,9,560,1140,9,814,63,917,555,417,1
2015,10,642,1388,11,863,63,1002,695,420,0
2015,11,639,1340,10,823,41,1011,634,370,4
2015,12,579,1081,4,800,44,1043,610,419,0
2016,1,559,998,6,917,54,1026,504,412,0
2016,2,609,1197,18,967,67,1058,623,406,4
2016,3,726,1411,18,1071,101,1157,664,417,1
2016,4,750,1371,15,1009,89,1156,676,395,5
2016,5,666,1066,15,1025,66,1195,533,394,2
2016,6,685,896,13,922,102,1099,486,375,3
2016,7,660,737,14,829,81,1067,462,381,5
2016,8,601,779,16,786,68,1062,403,395,4
2016,9,586,951,12,860,67,986,492,341,1
2016,10,611,1078,9,885,53,1018,650,385,2
2016,11,616,1012,12,770,58,1146,608,346,3
2016,12,598,802,12,771,65,978,510,347,6
2017,1,583,777,11,861,69,1068,548,353,4
2017,2,678,1137,10,902,67,1183,534,359,4